total_consumption;date;hour
2.791;20.03.2022;7
3.893;20.03.2022;8
5.406;20.03.2022;9
4.501;20.03.2022;10
3.693;20.03.2022;11
4.991;20.03.2022;12
4.984;20.03.2022;13
3.32;20.03.2022;14
3.676;20.03.2022;15
4.802;20.03.2022;16
2.891;20.03.2022;17
3.539;20.03.2022;18
6.043;20.03.2022;19
7.626;20.03.2022;20
5.379;20.03.2022;21
4.332;20.03.2022;22
3.819;20.03.2022;23
2.556;20.03.2022;24
90.798;20.03.2022;Kokku
1.929;21.03.2022;1
1.806;21.03.2022;2
2.253;21.03.2022;3
2.352;21.03.2022;4
2.048;21.03.2022;5
2.658;21.03.2022;6
4.429;21.03.2022;7
4.254;21.03.2022;8
3.584;21.03.2022;9
2.898;21.03.2022;10
2.353;21.03.2022;11
2.217;21.03.2022;12
2.399;21.03.2022;13
3.042;21.03.2022;14
3.611;21.03.2022;15
5.087;21.03.2022;16
3.725;21.03.2022;17
4.838;21.03.2022;18
5.369;21.03.2022;19
5.085;21.03.2022;20
5.096;21.03.2022;21
4.882;21.03.2022;22
3.355;21.03.2022;23
2.651;21.03.2022;24
81.921;21.03.2022;Kokku
2.275;22.03.2022;1
2.057;22.03.2022;2
1.794;22.03.2022;3
2.011;22.03.2022;4
2.112;22.03.2022;5
2.454;22.03.2022;6
3.713;22.03.2022;7
3.812;22.03.2022;8
3.238;22.03.2022;9
2.837;22.03.2022;10
2.66;22.03.2022;11
2.794;22.03.2022;12
2.012;22.03.2022;13
2.841;22.03.2022;14
4.136;22.03.2022;15
4.15;22.03.2022;16
4.056;22.03.2022;17
3.423;22.03.2022;18
5.141;22.03.2022;19
5.586;22.03.2022;20
5.463;22.03.2022;21
4.234;22.03.2022;22
2.583;22.03.2022;23
1.913;22.03.2022;24
77.295;22.03.2022;Kokku
1.62;23.03.2022;1
2.058;23.03.2022;2
2.184;23.03.2022;3
1.859;23.03.2022;4
2.303;23.03.2022;5
3.063;23.03.2022;6
4.138;23.03.2022;7
3.266;23.03.2022;8
3.365;23.03.2022;9
2.234;23.03.2022;10
1.743;23.03.2022;11
1.85;23.03.2022;12
1.919;23.03.2022;13
2.975;23.03.2022;14
6.633;23.03.2022;15
4.65;23.03.2022;16
7.395;23.03.2022;17
7.118;23.03.2022;18
5.643;23.03.2022;19
6.806;23.03.2022;20
5.509;23.03.2022;21
3.529;23.03.2022;22
2.379;23.03.2022;23
1.739;23.03.2022;24
85.978;23.03.2022;Kokku
2.028;24.03.2022;1
1.62;24.03.2022;2
2.173;24.03.2022;3
1.973;24.03.2022;4
2.847;24.03.2022;5
2.699;24.03.2022;6
4.072;24.03.2022;7
3.471;24.03.2022;8
2.557;24.03.2022;9
3.122;24.03.2022;10
2.654;24.03.2022;11
2.496;24.03.2022;12
2.203;24.03.2022;13
1.898;24.03.2022;14
3.039;24.03.2022;15
3.378;24.03.2022;16
4.903;24.03.2022;17
4.234;24.03.2022;18
4.67;24.03.2022;19
4.032;24.03.2022;20
3.265;24.03.2022;21
4.417;24.03.2022;22
3.718;24.03.2022;23
1.992;24.03.2022;24
73.461;24.03.2022;Kokku
1.839;25.03.2022;1
1.907;25.03.2022;2
2.027;25.03.2022;3
2.05;25.03.2022;4
1.978;25.03.2022;5
2.517;25.03.2022;6
5.073;25.03.2022;7
4.453;25.03.2022;8
4.78;25.03.2022;9
4.106;25.03.2022;10
3.405;25.03.2022;11
3.044;25.03.2022;12
1.856;25.03.2022;13
2.195;25.03.2022;14
3.225;25.03.2022;15
2.831;25.03.2022;16
3.452;25.03.2022;17
4.841;25.03.2022;18
4.135;25.03.2022;19
5.75;25.03.2022;20
5.34;25.03.2022;21
4.754;25.03.2022;22
3.297;25.03.2022;23
2.328;25.03.2022;24
81.183;25.03.2022;Kokku
2.067;26.03.2022;1
1.779;26.03.2022;2
1.985;26.03.2022;3
2.178;26.03.2022;4
2.918;26.03.2022;5
2.36;26.03.2022;6
2.642;26.03.2022;7
4.487;26.03.2022;8
4.153;26.03.2022;9
4.094;26.03.2022;10
2.81;26.03.2022;11
4.403;26.03.2022;12
4.273;26.03.2022;13
3.089;26.03.2022;14
2.895;26.03.2022;15
3.384;26.03.2022;16
2.959;26.03.2022;17
3.032;26.03.2022;18
5.55;26.03.2022;19
4.708;26.03.2022;20
6.566;26.03.2022;21
6.227;26.03.2022;22
4.757;26.03.2022;23
2.993;26.03.2022;24
86.309;26.03.2022;Kokku
2.128;27.03.2022;1
2.222;27.03.2022;2
2.692;27.03.2022;3
2.213;27.03.2022;5
2.113;27.03.2022;6
2.088;27.03.2022;7
3.361;27.03.2022;8
4.349;27.03.2022;9
6.719;27.03.2022;10
7.063;27.03.2022;11
8.051;27.03.2022;12
6.246;27.03.2022;13
4.655;27.03.2022;14
5.302;27.03.2022;15
6.129;27.03.2022;16
4.076;27.03.2022;17
4.869;27.03.2022;18
6.477;27.03.2022;19
6.133;27.03.2022;20
5.924;27.03.2022;21
4.973;27.03.2022;22
3.321;27.03.2022;23
2.217;27.03.2022;24
103.321;27.03.2022;Kokku
2.417;28.03.2022;1
2.06;28.03.2022;2
2.641;28.03.2022;3
1.868;28.03.2022;4
2.304;28.03.2022;5
3.297;28.03.2022;6
3.141;28.03.2022;7
3.936;28.03.2022;8
3.412;28.03.2022;9
3.568;28.03.2022;10
2.827;28.03.2022;11
2.698;28.03.2022;12
3.095;28.03.2022;13
2.056;28.03.2022;14
2.898;28.03.2022;15
3.048;28.03.2022;16
4.191;28.03.2022;17
4.529;28.03.2022;18
4.434;28.03.2022;19
3.628;28.03.2022;20
5.281;28.03.2022;21
5.007;28.03.2022;22
3.812;28.03.2022;23
2.073;28.03.2022;24
78.221;28.03.2022;Kokku
1.983;29.03.2022;1
2.542;29.03.2022;2
2.002;29.03.2022;3
2.369;29.03.2022;4
2.362;29.03.2022;5
2.447;29.03.2022;6
3.12;29.03.2022;7
4.416;29.03.2022;8
4.637;29.03.2022;9
4.163;29.03.2022;10
2.14;29.03.2022;11
2.596;29.03.2022;12
3.601;29.03.2022;13
2.775;29.03.2022;14
3.726;29.03.2022;15
3.457;29.03.2022;16
3.007;29.03.2022;17
3.901;29.03.2022;18
4.663;29.03.2022;19
5.539;29.03.2022;20
5.441;29.03.2022;21
4.604;29.03.2022;22
2.559;29.03.2022;23
2.063;29.03.2022;24
80.113;29.03.2022;Kokku
2.129;30.03.2022;1
2.474;30.03.2022;2
1.764;30.03.2022;3
2.308;30.03.2022;4
2.115;30.03.2022;5
2.462;30.03.2022;6
3.689;30.03.2022;7
5.116;30.03.2022;8
3.175;30.03.2022;9
2.954;30.03.2022;10
1.957;30.03.2022;11
2.899;30.03.2022;12
2.388;30.03.2022;13
3.486;30.03.2022;14
3.284;30.03.2022;15
5.532;30.03.2022;16
3.535;30.03.2022;17
4.891;30.03.2022;18
3.676;30.03.2022;19
6.143;30.03.2022;20
5.767;30.03.2022;21
4.728;30.03.2022;22
2.55;30.03.2022;23
2.015;30.03.2022;24
81.037;30.03.2022;Kokku
1.959;31.03.2022;1
2.216;31.03.2022;2
2.161;31.03.2022;3
2.201;31.03.2022;4
2.242;31.03.2022;5
2.542;31.03.2022;6
2.618;31.03.2022;7
4.459;31.03.2022;8
4.2;31.03.2022;9
3.289;31.03.2022;10
2.002;31.03.2022;11
2.973;31.03.2022;12
3.174;31.03.2022;13
2.185;31.03.2022;14
2.544;31.03.2022;15
4.408;31.03.2022;16
4.664;31.03.2022;17
4.872;31.03.2022;18
4.973;31.03.2022;19
3.409;31.03.2022;20
4.382;31.03.2022;21
5.777;31.03.2022;22
3.283;31.03.2022;23
2.245;31.03.2022;24
78.778;31.03.2022;Kokku
1.762;1.04.2022;1
1.896;1.04.2022;2
2.085;1.04.2022;3
1.725;1.04.2022;4
2.335;1.04.2022;5
2.512;1.04.2022;6
3.938;1.04.2022;7
5.178;1.04.2022;8
4.059;1.04.2022;9
2.823;1.04.2022;10
1.659;1.04.2022;11
2.604;1.04.2022;12
1.951;1.04.2022;13
2.066;1.04.2022;14
2.489;1.04.2022;15
3.803;1.04.2022;16
3.652;1.04.2022;17
4.482;1.04.2022;18
4.229;1.04.2022;19
4.645;1.04.2022;20
4.359;1.04.2022;21
3.154;1.04.2022;22
2.87;1.04.2022;23
2.811;1.04.2022;24
73.087;1.04.2022;Kokku
2.713;2.04.2022;1
2.422;2.04.2022;2
1.954;2.04.2022;3
